#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
200.2,200,87.552584
200.2,200,87.621039
200.2,200,88.268229
200.2,200,88.335517
200.2,200,88.400667
54.391886,60,88.421995
121.35,127,88.464503
200.2,200,88.531878
200.2,200,88.59783
39.35,45,89.147427
207.3,200,89.21494
200.2,200,89.283308
200.2,200,89.351565
200.2,200,89.429693
200.2,200,89.999688
200.2,200,90.066436
200.2,200,90.134032
200.2,200,90.201573
200.2,200,90.268616
200.2,200,90.336892
121.35,127,90.886882
140.391886,146,90.936934
200.2,200,91.005932
200.2,200,91.076679
99.391886,105,91.112801
203.15,200,91.179957
200.2,200,91.764703
200.2,200,91.835233
200.2,200,91.906773
41.35,47,91.923602
200.2,200,91.995404
200.2,200,92.060542
200.2,200,92.692089
200.2,200,92.760345
200.2,200,92.826204
200.2,200,92.891129
200.2,200,92.960999
200.2,200,93.532209
200.2,200,93.601342
200.2,200,93.670348
200.2,200,93.738791
70.391886,76,93.766253
200.2,200,93.837971
200.2,200,94.420623
200.2,200,94.489548
200.2,200,94.564444
200.2,200,94.634304
200.2,200,94.701519
200.2,200,95.275826
200.2,200,95.345724
200.2,200,95.416478
200.2,200,95.483058
200.2,200,95.549331
200.2,200,96.191487
200.2,200,96.259142
200.2,200,96.326923
200.2,200,96.399246
200.2,200,96.467319
200.2,200,97.031257
200.2,200,97.101152
200.2,200,97.171846
200.2,200,97.243536
200.2,200,97.311872
200.2,200,97.882841
36.35,42,97.897881
202.5,200,97.96444
24.391886,30,97.975592
62.391886,68,97.999018
207.15,200,98.065329
200.2,200,98.136677
102.35,108,98.175239
200.2,200,98.776666
200.2,200,98.847363
205.95,200,98.916925
166.35,172,98.975131
200.2,200,99.043396
30.35,36,99.058725
28.35,34,99.07182
199.320854,200,99.71479
130.391886,136,99.759737
65.35,71,99.783985
51.391886,57,99.803922
200.2,200,99.87186
200.2,200,99.94022
200.2,200,100.010152
196.962336,200,100.640169
200.2,200,100.70607
200.2,200,100.772471
200.2,200,100.838662
200.2,200,100.909191
200.2,200,101.486995
200.2,200,101.553568
201.95,200,101.619716
123.35,129,101.664042
199.921281,200,101.732036
200.2,200,102.36731
205.35,200,102.436935
200.2,200,102.505402
200.2,200,102.574331
200.2,200,102.641711
200.2,200,103.214828
200.2,200,103.285509
28.35,34,103.298288
52.391886,58,103.319076
